thread_id,timestamp,unix_timestamp,body,author,account_status,verified,language_guess,possibly_sensitive,engagement,is_retweet,is_quote_tweet,is_reply,hashtags,IMG ID,filename,mentions,reply_to,subtag,map,category,online
1497814390166499328,2022-02-27 06:02:33,1645938153,"❗️Adviser to the head of the Ministry of Internal Affairs Anton Gerashchenko said that fighting in #Kharkiv was taking place on #Alekseevka, in the city center and in the Hydropark area (marked on the map).

#Russia #Ukraine #Kyiv  #UkraineCrisis #RussiaUkraineConflict https://t.co/x7uz0pJyyZ",_frnow,Yes,FALSE,en,no,7,no,no,no,"Kharkiv,Alekseevka,Russia,Ukraine,Kyiv,UkraineCrisis,RussiaUkraineConflict",2194 - FMlOG80XwAIbZ_G.jpg,FMlOG80XwAIbZ_G.jpg,,,map,Plain map,Plain map,NO
1496848885876146180,2022-02-24 14:05:59,1645707959,Here is a map of Ukraine @Russia https://t.co/4FZiHfDnFq https://t.co/BuwvZ9nAgt,_HopperLUFC,Deleted/Suspended,NULL,en,no,0,no,yes,no,,6800 - FMXgIIQXsAEqeMX.jpg,FMXgIIQXsAEqeMX.jpg,Russia,,map,Plain map,Plain map,NO
1497083672847171589,2022-02-25 05:38:56,1645763936,This the map Russia https://t.co/sxp3dMEs0Z,_localdee,Yes,FALSE,en,no,7,no,no,no,,2234 - FMa1qnUXoAA1gyT.jpg,FMa1qnUXoAA1gyT.jpg,,,map,Plain map,Plain map,NO
1496857210172973057,2022-02-24 14:39:03,1645709943,"Dear Russia, 

just in case you get confused, heres a map. 🙂 https://t.co/ehYOlDozDk",_rossrozar,Yes,FALSE,en,yes,5,no,no,no,,2695 - FMXnswzXIAEGfjN.jpg,FMXnswzXIAEGfjN.jpg,,,map,,Plain map,NO
1496941379330711557,2022-02-24 20:13:31,1645730011,Dear russia this is the map btw https://t.co/TMh9672DHj,27jays_,Yes,FALSE,en,no,6,no,no,no,,2439 - FMY0QD3VEBQx9__.jpg,FMY0QD3VEBQx9__.jpg,,,map,,Plain map,NO
1496840566792929284,2022-02-24 13:32:57,1645705977,Taking Crimea gave Putin control of 80% of Ukraine's black sea oil and gas fields. The supposed breakaway regions gave him the Northeaster fields you see on the map below. His goal now is the Western oil and gas fields. https://t.co/Yx5EB63OIY,3872N8768W,Yes,FALSE,en,no,4,no,no,yes,,3048 - FMXSGvNXEAswdx9.png,FMXSGvNXEAswdx9.png,,,map,Plain map,Plain map,NO
1497089101236822020,2022-02-25 06:00:30,1645765230,Dear Russia this is the map btw https://t.co/SkslNBxQez,8rded,Yes,FALSE,en,no,0,no,no,no,,6540 - FMa6ma0VUAA8TGE.jpg,FMa6ma0VUAA8TGE.jpg,,,map,Plain map,Plain map,NO
1496770998179438592,2022-02-24 08:56:31,1645689391,2/6 Map of Ukraine https://t.co/NfChXY3aCf,A_Melikishvili,Yes,FALSE,en,no,5,no,no,yes,,2714 - FMWWj6qXEAMKOag.jpg,FMWWj6qXEAMKOag.jpg,,,map,,Plain map,NO
1497989377728864261,2022-02-27 20:01:48,1645988508,"@lyricalvolt @v8oholic @dwnews Turkey is a founding member of nato, and it almost share borders with Russia.And Latvia 🇱🇻, Estonia 🇪🇪 Nato members share border with Russia,
Nato objectives is to defend n protect, Nato never attack first.
Look the map below 👇🏾 The red dots, Only Turkey wit 2 dots. #PutinIsdrunk https://t.co/wjTzzqBHDK",Abhamieson1,Yes,FALSE,en,no,1,no,no,yes,PutinIsdrunk,4699 - FMoOPSgXIAQVc00.jpg,FMoOPSgXIAQVc00.jpg,"lyricalvolt,v8oholic,dwnews",lyricalvolt,Other,,Plain map,NO
1499142392003407874,2022-03-02 22:05:02,1646255102,@JoseRam55630637 Topographic Map of #Ukraine bud🇨🇦🍻 https://t.co/PVGqliFNRT,ACMETODD,Yes,FALSE,en,no,1,no,no,yes,Ukraine,4334 - FM4HT8kXsAIU3sB.jpg,FM4HT8kXsAIU3sB.jpg,JoseRam55630637,JoseRam55630637,Other,,Plain map,NO
1498976810629058560,2022-03-02 11:01:35,1646215295,"Map of Ukraine presented by Ukrainian delegation on Paris Peace Conference, 1919 | Source: https://t.co/6ujxCbsMQ9 #maps #geography https://t.co/48S3wkTXDc",AddictMap,Yes,FALSE,en,no,5,no,no,no,"maps,geography",2518 - FM1vdz-WYAIKemT.jpg,FM1vdz-WYAIKemT.jpg,,,map,Plain map,Plain map,NO
1497104552033763333,2022-02-25 07:01:54,1645768914,A one line map of Ukraine that I created for an auction to support Ukraine. Gaps represent regions | Source: https://t.co/3b7dKqBjcB #maps #geography https://t.co/jSzHhpcb6i,AddictMap,Yes,FALSE,en,no,4,no,no,no,"maps,geography",2981 - FMbIqCNXwA852c4.jpg,FMbIqCNXwA852c4.jpg,,,map,Plain map,Plain map,NO
